	title	title_link	start_date	end_date	type	category	place	title2
88	ALB Korea Corporate Compliance Forum	https://10times.com/alb-korea-corporate-compliance-forum-seoul	Thu, 23 Apr 2020	Thu, 23 Apr 2020	Conference	['Building & Construction', 'Business Services']	 Seoul	ALB Korea Corporate Compliance Forum provides a platform for senior legal and compliance experts to share their strategies on how to better manage the ever-increasing compliance obligations in both South...
89	Infrastructure Investor Japan Korea Week	https://10times.com/infrastructure-investor-japan-korea-week	Mon, 20 Apr 2020	Fri, 24 Apr 2020	Conference	['Building & Construction', 'Business Services']	 Seoul	Infrastructure Investor Japan Korea Week will build relationships between the established Korean investor base and infrastructure professionals putting capital to work globally.
90	Korea Public Procurement Expo (KOPPEX)	https://10times.com/korea-public-procurement-expo	Wed, 22 Apr 2020	Fri, 24 Apr 2020	Tradeshow	['Auto & Automotive', 'Industrial Products', 'Business Services']	 KINTEX Exhibition Hall 2, Goyang-si  14.6 Miles from Seoul	Public Procurement Expo for quality products, renewable energy & technology
91	International Electronic Circuits & Packaging Show (KPCA Show)	https://10times.com/international-electronic-circuitsshow	Wed, 22 Apr 2020	Fri, 24 Apr 2020	Tradeshow	['Electric & Electronics']	 Songdo Convensia (Songdo ConvensiA), Incheon  22 Miles from Seoul	Exhibition for the electronic and circuits.
92	FICPI Korean Symposium	https://10times.com/ficpi-korean-symposium-seoul	Wed, 22 Apr 2020	Fri, 24 Apr 2020	Conference	['Business Services']	 Novotel Ambassador Seoul Gangnam, Seoul	FICPI Korean Symposium provides an outstanding opportunity to be part of a great programme, which blends exciting sessions about IP portfolio building, enforcement, and strategy. The FICPI Korea symposium...
93	COSMOBEAUTY SEOUL34th edition	https://10times.com/seoul-cosmetic-beauty-expo	Thu, 23 Apr 2020	Sat, 25 Apr 2020	Tradeshow	['Cosmetics', 'Fashion & Beauty']	 COEX Convention Center, Seoul	Seoul Int'l Cosmetic & Beauty Industry Expo
94	MK START-UP & FRANCHISE SHOW	https://10times.com/mk-start-up-franchise-show	Thu, 23 Apr 2020	Sat, 25 Apr 2020	Tradeshow	['Business Services']	 KINTEX Exhibition Hall 2, Goyang-si  14.6 Miles from Seoul	MK START-UP & FRANCHISE SHOW will provide opportunities for business creation and product demand by major buyers invited rounding & Franchise Show. It offers the opportunity to catch both B2B and B2C at...
95	Seoul VR AR Expo (SVAE)	https://10times.com/svae	Thu, 23 Apr 2020	Sat, 25 Apr 2020	Tradeshow	['Business Services', 'IT & Technology']	 Coex Aquarium, Seoul	Your Fantasy, My Reality
96	Photo & Imaging (P&I)	https://10times.com/photo-imaging-seoul	Thu, 23 Apr 2020	Sun, 26 Apr 2020	Tradeshow	['Education & Training', 'IT & Technology']	 COEX Mall, Seoul	International Photo & Imaging Industry Show
97	Tctap Summit	https://10times.com/tctap-summit	Sat, 25 Apr 2020	Tue, 28 Apr 2020	Conference	['Medical & Pharma', 'Hospitals & Surgical']	 COEX Convention Center, Seoul	The Tctap Summit provides the attendees with the opportunity to review the latest basic and clinical investigations to guide how to manage optimally the patients with vascular or structural heart disease,...
98	Cardiovascular Summit	https://10times.com/cardiovascular-summit	Sat, 25 Apr 2020	Tue, 28 Apr 2020	Conference	['Medical & Pharma']	 COEX Convention Center, Seoul	The Cardiovascular Summit is a platform to learn numerous treatment strategies through reviewing diverse challenging cases submitted from all around the world and discussing with the world-renowned experts,...
99	International Conference on Agriculture and Nutrition (ANC)	https://10times.com/anc-seoul	Mon, 27 Apr 2020	Tue, 28 Apr 2020	Conference	['Agriculture & Forestry']	 Seoul	International Conference on Agriculture and Nutrition aim is to bringing international professionals in the field of Agriculture and nutrition from all over the world to discuss on all branches of the...
100	International conference on Pediatrics and Primary Care	https://10times.com/international-conference-on-pediatrics-and-primar	Mon, 27 Apr 2020	Tue, 28 Apr 2020	Conference	['Medical & Pharma']	 Four Seasons Hotel Seoul, Seoul	International conference on Pediatrics and Primary Care main theme is to provide unique ethical and responsive methods to all researchers towards Pediatrics cases and the upcoming medical care towards...
101	Asian Media on a Global Scale (AM Global)	https://10times.com/am-global	Mon, 27 Apr 2020	Wed, 29 Apr 2020	Conference	['Business Services', 'Entertainment & Media']	 Grand Hyatt Seoul, Seoul	Explosion of Asian Media Globally
102	World IT Show (WIS)13th edition	https://10times.com/world-it-show-seoul	Wed, 06 May 2020	Fri, 08 May 2020	Tradeshow	['Computer & Gadgets', 'IT & Technology', 'Artificial Intelligence', 'Fintech']	 COEX Convention Center, Seoul	Hyper connected society, make IT yours
103	IEEE MTT-S Wireless Power Transfer Conference (WPTC)	https://10times.com/wptc-south-korea	Tue, 05 May 2020	Sat, 09 May 2020	Conference	['Power & Energy', 'IT & Technology']	 Baekyang Nuri(The Commons), Jikhalsi  2.2 Miles from Seoul	IEEE MTT-S Wireless Power Transfer Conference will be allowing interactions between researchers and developers from all disciplines and backgrounds in the field of wireless power. The topics of interest...
104	Wireless Power Week (WPW)	https://10times.com/wpw	Tue, 05 May 2020	Sat, 09 May 2020	Conference	['Power & Energy', 'IT & Technology']	 Yonsei University, Seoul	Wireless Power Week is the largest wireless power event in the world, filled with the participation of over 400 research scientists and professionals around the world. It will provide the attendees with...
105	USANA Asia Pacific Convention (USANAAPC)	https://10times.com/usanaapconvention	Thu, 07 May 2020	Sat, 09 May 2020	Conference	['Education & Training']	 KINTEX Exhibition Hall 2, Goyang-si  14.6 Miles from Seoul	USANA Asia Pacific Convention will give you the chance to transform your life and your business. With amazing announcements, once-in-a-lifetime training, and networking opportunities with USANA management...
106	International Conference on Advanced Manufacturing and Materials (ICAMM)	https://10times.com/icamm-seoul	Fri, 08 May 2020	Sun, 10 May 2020	Conference	['Industrial Engineering']	 Seoul	2020 4th International Conference on Advanced Manufacturing and Materials (ICAMM 2020), will be held in Seoul National University, Seoul, South Korea during May 8-10, 2020. It is a technical congregation...
107	International Conference on Chemical Engineering and Applications (CCEA)11th edition	https://10times.com/ccea-seoul	Fri, 08 May 2020	Sun, 10 May 2020	Conference	['Science & Research']	 Seoul National University, Seoul	2020 11th International Conference on Chemical Engineering and Applications (CCEA 2020), will be held in Seoul National University, Seoul, South Korea during May 8-10, 2020.Chemical engineering is a branch...
108	International Horticulture Goyang Korea	https://10times.com/horticulture-goyang	Sat, 25 Apr 2020	Mon, 11 May 2020	Tradeshow	['Agriculture & Forestry']	 KINTEX Exhibition Hall 2, Goyang-si  14.6 Miles from Seoul	International Horticulture Goyang Korea features like The place seems to be gorgeous european pictures with flower street, The garden with millions of colorful tropical orchilds, The garden where You can...
109	International Conference on Cross Culture Studies in Social Sciences and Operations Management (CSOM)	https://10times.com/csom	Wed, 13 May 2020	Thu, 14 May 2020	Conference	['Science & Research', 'Education & Training']	 Nine Tree Premier Hotel Myeongdong2, Seoul	He purpose of ROEES is to serve as a platform for international exchange of ideas
110	ANIMH International Conference on Modern Applications in Engineering Management, Technology, Basic and Applied Sciences (META)	https://10times.com/meta-seoul	Wed, 13 May 2020	Thu, 14 May 2020	Conference	['Science & Research', 'IT & Technology']	 Nine Tree Premier Hotel Myeongdong2, Seoul	ANIMH International Conference on Modern Applications in Engineering Management, Technology, Basic and Applied Sciences will cover topics like smart engineering technology, smart data science and big data,...
111	IRPA  International Congress15th edition	https://10times.com/irpa-seoul	Mon, 11 May 2020	Fri, 15 May 2020	Conference	['Science & Research', 'Education & Training']	 COEX Convention Center, Seoul	Under the theme of Bridging Radiation Protection Culture and Science –Widening Public Empathy, IRPA will provide invaluable opportunities to discuss and strengthen the correlation between Radiation...
112	KOBA SHOW30th edition	https://10times.com/koba	Wed, 13 May 2020	Fri, 15 May 2020	Tradeshow	['Electric & Electronics', 'Advertising', 'Entertainment & Media']	 COEX Convention Center, Seoul	Korea International Broadcast, Audio & Lighting Equipment Show
113	Korean College of Rheumatology Annual Scientific Meeting and the International Symposium (KCR)	https://10times.com/international-symposium-korean-collage-rheumato	Thu, 14 May 2020	Sat, 16 May 2020	Conference	['Medical & Pharma', 'Science & Research']	 Novotel Suites Ambassador Seoul Yongsan, Jikhalsi  2.6 Miles from Seoul	Korean College of Rheumatology Annual Scientific Meeting and the International Symposium promise in-depth academic program that consist of lectures from leading scholars and rising researchers from all...
114	International Conference on Environment and Natural Science (ICENS)	https://10times.com/icensseoul	Mon, 18 May 2020	Tue, 19 May 2020	Conference	['Science & Research', 'Environment & Waste']	 Hotel Skypark Kingstown Dongdaemun, Seoul	The International Conference on Environment and Natural Science, It aims to be one of the leading international conferences for presenting novel and fundamental advances in the fields of Natural Science...
115	International Conference on Teaching, Education & Learning (ICTEL)8th edition	https://10times.com/ictel-seoul	Tue, 19 May 2020	Wed, 20 May 2020	Conference	['Education & Training']	 Nine Tree Premier Hotel Myeongdong2, Seoul	International Conference on Teaching, Education & Learning will feature new ideas, innovations, theoretical, methodological and empirical knowledge, and problem-solving techniques in the following disciplines,...
116	Biologics Manufacturing Korea	https://10times.com/biologics-world-conference	Tue, 19 May 2020	Thu, 21 May 2020	Conference	['Medical & Pharma', 'Science & Research']	 Songdo Convensia (Songdo ConvensiA), Incheon  22 Miles from Seoul	Conference discuss on strategies, latest technologies and best practices
117	AI Expo Korea	https://10times.com/ai-expo-korea	Tue, 19 May 2020	Thu, 21 May 2020	Tradeshow	['IT & Technology']	 COEX Convention Center, Seoul	The AI Expo Korea will meet the technology to introduce artificial intelligence elements and solutions that are used in the fields of artificial intelligence, ICT, and IoT industries, and will be the best...
118	International Conference on Social Science & Humanities (ICSSH)	https://10times.com/icssh-seoul	Wed, 20 May 2020	Thu, 21 May 2020	Conference	['Science & Research', 'Business Services']	 Nine Tree Premier Hotel Myeongdong2, Seoul	Collaborate to co-create
119	Seoul Food38th edition	https://10times.com/seoul-food	Tue, 19 May 2020	Fri, 22 May 2020	Tradeshow	['Food & Beverages']	 Kintex, Goyang-si  14.5 Miles from Seoul	International Exhibition for the Food, Beverages, Hotel, Restaurant, Foodservices
120	Seoul Food & Hotel (SFH)14th edition	https://10times.com/seoul-food-hotel	Tue, 19 May 2020	Fri, 22 May 2020	Tradeshow	['Food & Beverages', 'Hotel, Restaurant']	 Kintex, Goyang-si  14.5 Miles from Seoul	Korea’s largest International Exhibition for the Food, Drink, Hotel & Foodservice Industries
121	Seoul FoodTech	https://10times.com/seoul-foodtech	Tue, 19 May 2020	Fri, 22 May 2020	Tradeshow	['Food & Beverages']	 Kintex, Goyang-si  14.5 Miles from Seoul	The Agro, Marine & Other Food Products and Beverages Industry Expo
122	AMFORHT World Forum & General Assembly	https://10times.com/amforht-world-forum	Tue, 19 May 2020	Fri, 22 May 2020	Conference	['Travel & Tourism', 'Hospitality']	 Shilla Hotel, Seoul	Fostering Leadership and Talents for Sustainable Smart Tourism & Hospitality
123	Welding Incheon Korea	https://10times.com/welding-korea	Wed, 20 May 2020	Fri, 22 May 2020	Tradeshow	['Industrial Engineering', 'Welding & Cutting']	 Songdo Convensia (Songdo ConvensiA), Incheon  22 Miles from Seoul	International Welding, Cutting & Laser Equipments Industrial Exhibition Incheon Korea
124	Bio Korea	https://10times.com/bio-korea	Wed, 20 May 2020	Fri, 22 May 2020	Tradeshow	['Medical & Pharma', 'Scientific Instruments', 'Science & Research', 'Biotechnology']	 COEX Mall, Seoul	The 13th anniversary of leading Korean bio-industry’s future.
125	International Conference on Business, Economics, Law, Language & Psychology (ICBELLP)8th edition	https://10times.com/icbellp-seoul	Thu, 21 May 2020	Fri, 22 May 2020	Conference	['Science & Research', 'Business Services']	 Nine Tree Premier Hotel Myeongdong2, Seoul	Collaborate to co-create
126	International Conference on Research in Life-Sciences & Healthcare (ICRLSH)8th edition	https://10times.com/icrlsh-seoul	Fri, 22 May 2020	Sat, 23 May 2020	Conference	['Medical & Pharma', 'Science & Research']	 Nine Tree Premier Hotel Myeongdong2, Seoul	International Conference on Research in Life-Sciences & Healthcare will cover areas like biotechnology, life sciences (zoology, botany, biochemistry, microbiology, ecology), apoptosis and disease, phylogenetics,...
127	Seoul International Tourism Industry Fair (SITIF)	https://10times.com/korea-world-travelfair	Thu, 21 May 2020	Sun, 24 May 2020	Tradeshow	['Travel & Tourism']	 COEX Convention Center, Seoul	The Leading International Trade Fair for Tourism Industry
128	Seoul International Handmade Fair (SIHF)	https://10times.com/seoul-handmade-fair	Thu, 21 May 2020	Sun, 24 May 2020	Tradeshow	['Arts & Crafts', 'Furniture']	 Dongdaemun Design Plaza(DDP), Seoul	A representative Handmade platform of Korea
129	International Conference on Material Engineering Research (ICMER)3rd edition	https://10times.com/icmer-south-korea	Fri, 22 May 2020	Sun, 24 May 2020	Conference	['Industrial Engineering', 'Science & Research']	 Incheon National University, Incheon  23.1 Miles from Seoul	International Conference on Material Engineering Research aims to be one of the leading international conferences for presenting current research in the fields of advanced materials and engineering technology...
130	International Conference on Software and Systems Process (ICSSP)	https://10times.com/icssp-jikhalsi	Sat, 23 May 2020	Sun, 24 May 2020	Conference	['IT & Technology']	 Seoul Dragon City Hotel, Jikhalsi  2.4 Miles from Seoul	International Conference on Software and Systems Process will cover topics like Software and systems processes for AI-based systems, Measurement for hybrid and evolving processes, Empirical studies and...
131	International Conference on Program Comprehension (ICPC)	https://10times.com/icpc-jikhalsi	Sat, 23 May 2020	Sun, 24 May 2020	Conference	['IT & Technology']	 Dragon city, Jikhalsi  2.1 Miles from Seoul	International Conference on Program Comprehension is the premier venue for work in the area of program comprehension. It encompasses both human activities for comprehending the software and technologies...
132	International Conference on Formal Methods in Software Engineering (FormaliSE)8th edition	https://10times.com/formalise-seoul	Mon, 25 May 2020	Tue, 26 May 2020	Conference	['IT & Technology']	 Seoul	International Conference on Formal Methods in Software Engineering aim is to foster integration between the formal methods and the software engineering communities with the purpose to examine the link...
133	International Conference on Technical Debt (TechDebt)	https://10times.com/techdebt-jikhalsi	Mon, 25 May 2020	Tue, 26 May 2020	Conference	['IT & Technology']	 Dragon city, Jikhalsi  2.1 Miles from Seoul	International Conference on Technical Debt will bring together leading software researchers, practitioners, and tool vendors to explore theoretical and practical techniques that manage technical debt.
134	IEEE/ACM International Conference on Automation of Software Test (AST)	https://10times.com/ast-jikhalsi	Mon, 25 May 2020	Tue, 26 May 2020	Conference	['IT & Technology']	 Seoul Dragon City Hotel, Jikhalsi  2.4 Miles from Seoul	The IEEE/ACM International Conference on Automation of Software Test will provide the attendees with the opportunity to gain insights relating to topics such as Test automation of large, complex system,...
135	Mining Software Repositories Conference (MSR Conference)	https://10times.com/msr-conference-jikhalsi	Mon, 25 May 2020	Tue, 26 May 2020	Conference	['Science & Research', 'IT & Technology']	 Dragon city, Jikhalsi  2.1 Miles from Seoul	Mining Software Repositories Conference goal is to improve software engineering practices by uncovering interesting and actionable information about software systems and projects using the vast amounts...
136	International Congress of Clinical Chemistry and Laboratory Medicine24th edition	https://10times.com/international-congress-clinical-chemistry	Sun, 24 May 2020	Thu, 28 May 2020	Conference	['Science & Research']	 COEX Convention Center, Seoul	International Congress of Clinical Chemistry and Laboratory Medicine will be the globalization of medical knowledge related to Clinical Chemistry and Laboratory Medicine through a well-structured system...
137	International Conference on Software Engineering (ICSE)42nd edition	https://10times.com/https-conf-researchr-org-home-icse	Sat, 23 May 2020	Fri, 29 May 2020	Conference	['IT & Technology']	 Dragon city, Jikhalsi  2.1 Miles from Seoul	International Conference on Software Engineering is the premier software engineering conference where researchers, practitioners, and educators gather together to present and discuss the most recent innovations,...
138	International Conference on Molten Slags, Fluxes, and Salts11th edition	https://10times.com/molten	Mon, 25 May 2020	Fri, 29 May 2020	Conference	['Industrial Engineering', 'Education & Training']	 The Westin Chosun, Seoul, Seoul	International Conference on Molten Slags, Fluxes, and Salts will concentrate on both the principles and practical applications of ionic melts, slags, fluxes, and salts and their uses in metals and materials...
139	Electronics Manufacturing Korea (EMK)21st edition	https://10times.com/smtpcb-nepcon-korea	Wed, 27 May 2020	Fri, 29 May 2020	Tradeshow	['Electric & Electronics', 'Industrial Products', 'Tools & Equipments', 'Automation & Robotics', 'IT & Technology', 'Artificial Intelligence']	 COEX Convention Center, Seoul	Korea's Largest Electronics Manufacturing B2B Exhibition
140	Electric Power Tech Korea (EPTK)18th edition	https://10times.com/global-electricpower-tech	Wed, 27 May 2020	Fri, 29 May 2020	Tradeshow	['Electric & Electronics', 'Power & Energy']	 COEX Mall, Seoul	The Leading Trade Fair for Electric Power and Technology
141	Autotronics Manufacturing Korea (AMK)4th edition	https://10times.com/amk	Wed, 27 May 2020	Fri, 29 May 2020	Tradeshow	['Auto & Automotive', 'Electric & Electronics', 'Industrial Products', 'Automation & Robotics', 'Artificial Intelligence']	 COEX Convention Center, Seoul	Korea's Largest Automotive Electronics Manufacturing B2B Exhibition
142	International Conference On Economics, Trade And Development (ICETD)	https://10times.com/icetd-seoul	Wed, 27 May 2020	Fri, 29 May 2020	Conference	['Education & Training']	 Seoul	The International Conference On Economics aims to bring researchers, scientists, engineers, and scholar students together to not only exchange and share their experiences, new ideas, and research results...
143	International Symposium on Econometric Theory and Applications (SETA)16th edition	https://10times.com/seta-seoul	Sat, 30 May 2020	Sun, 31 May 2020	Conference	['Science & Research', 'IT & Technology']	 Yonsei University, Seoul	The International Symposium on Econometric Theory and Applications is a leading event in Asia that brings together researchers in econometrics in an international forum to present and discuss their research...
144	Seoul Worlds Leading Wines	https://10times.com/worldsleadingwines	Mon, 01 Jun 2020	Mon, 01 Jun 2020	Tradeshow	['Food & Beverages']	 Grand Hyatt Seoul, Seoul	To ensure an effective sourcing event we only confirm attendance from: Established, quality focused Importers & Distributors – From South Korea: Importers & Distributors with strong sales into the South...
145	Korea Landscape Garden Expo	https://10times.com/korea-landscape-expo	Tue, 02 Jun 2020	Fri, 05 Jun 2020	Tradeshow	['Building & Construction', 'Home & Office']	 COEX Mall, Seoul	Korea Landscape Expo features Indoor and outdoor landscaping material, scenic planting, gardening tools and garden supplies and etc.
146	International Anti-Corruption Conference (IACC)19th edition	https://10times.com/https-iaccseries-org-blog-th-international-ant	Tue, 02 Jun 2020	Fri, 05 Jun 2020	Conference	['Science & Research', 'Education & Training']	 Seoul	International Anti-Corruption Conference brings the global anti-corruption community to forge new alliances and strategies to advance in the anti-corruption agenda. It is the world's most important independent...
147	International Database Engineering & Applications Symposium (IDEAS)	https://10times.com/ideas-incheon	Wed, 03 Jun 2020	Fri, 05 Jun 2020	Conference	['Industrial Engineering']	 Inha University yonghyun campus, Incheon  19.5 Miles from Seoul	International Database Engineering & Applications Symposium is a top international forum for data engineering researchers, practitioners, developers, and application users to explore revolutionary ideas...
148	International Conference on Health Promoting Hospitals and Health Services (HPH Conference)	https://10times.com/hph-conference	Wed, 03 Jun 2020	Fri, 05 Jun 2020	Conference	['Medical & Pharma', 'Wellness, Health & Fitness']	 Yonsei University, Seoul	International Conference on Health Promoting Hospitals and Health Services is the main event of the international HPH network. It is a forum of learning and exchange on health promotion in and by health...
149	Seoul Conference on Interdisciplinary Business & Economics Research (SIBR)	https://10times.com/sibr-e	Fri, 05 Jun 2020	Sat, 06 Jun 2020	Conference	['Business Services', 'Education & Training']	 Nine Tree Premier Hotel Myeongdong2, Seoul	Seoul Conference on Interdisciplinary Business & Economics Research brings together academics and professionals from all business and economics disciplines to share latest research findings and brainstorm...
150	Seoul International Dental Exhibition (SIDEX)	https://10times.com/seoulinternational-dentalexhibition-scientificcongress	Fri, 05 Jun 2020	Sun, 07 Jun 2020	Tradeshow	['Medical & Pharma']	 COEX Mall, Seoul	The Biggest Trade Show for Dental Materials and Equipment
151	International Conference and Exhibition on Materials and Engineering (Materials Seoul)5th edition	https://10times.com/iceme-seoul	Mon, 08 Jun 2020	Wed, 10 Jun 2020	Conference	['Industrial Engineering', 'Science & Research']	 Seoul	Exploring new Insights and Innovative Technologies Using Materials and Engineering
152	Music Cities Convention	https://10times.com/music-cities-convention	Mon, 08 Jun 2020	Wed, 10 Jun 2020	Conference	['IT & Technology', 'Entertainment & Media']	 Seoul City Hall, Seoul	Music Cities Convention is the largest global reaching conference exploring the relationship between music and the built environment. It will provide the attendees with the opportunity to join leaders...
153	TyphoonCon	https://10times.com/all-offensive-security-conference	Mon, 08 Jun 2020	Fri, 12 Jun 2020	Conference	['IT & Technology']	 Courtyard by Marriott Seoul Namdaemun, Seoul	All Offensive Security Conference will feature a discussion on topics like vulnerability discovery, advanced exploitation techniques, mitigation bypass techniques, attacks on cryptography in hardware and/or...
154	Collaborative Conference on Materials Research (CCMR)	https://10times.com/ccmr	Mon, 08 Jun 2020	Fri, 12 Jun 2020	Conference	['Minerals, Metals & Ores', 'Industrial Engineering']	 Songdo Convensia (Songdo ConvensiA), Incheon  22 Miles from Seoul	The CCMR will continue providing an interdisciplinary forum for the open communication in understanding physical, chemical, and biological materials of any compositions and morphologies, including carbon...
155	World Conference on Non-Destructive Testing	https://10times.com/world-conference-on-non-destructive-testing	Mon, 08 Jun 2020	Fri, 12 Jun 2020	Conference	['IT & Technology']	 COEX Convention Center, Seoul	World Conference on Non-Destructive Testing is the place to interchange and integrate with professional colleagues from all around the world with an interest in this field. It is the platform for networking...
156	ARNOVA Asia Conference4th edition	https://10times.com/arnova-asia-conference-seoul	Thu, 11 Jun 2020	Fri, 12 Jun 2020	Conference	['Education & Training', 'Wellness, Health & Fitness']	 Yonsei University, Seoul	ARNOVA Asia Conference theme will be New Roles and Tasks of Nonprofits, Social Economy Organizations, and Voluntary Action in 21st Century Asian Welfare States. It will cover areas like Giving & Volunteering,...
157	International Conference on Language, Education, Humanities, and Innovation (ICLEHI)18th edition	https://10times.com/iclehi-seoul	Fri, 12 Jun 2020	Sat, 13 Jun 2020	Conference	['Science & Research', 'Education & Training']	 Courtyard by Marriott Seoul Namdaemun, Seoul	The International Conference on Language, Education, Humanities, and Innovation will provide the attendees with the opportunity to gain insights relating to topics such as Action Research in Language Teaching,...
158	TEA WORLD FESTIVAL	https://10times.com/tea-world-festival	Thu, 11 Jun 2020	Sun, 14 Jun 2020	Tradeshow	['Food & Beverages', 'Tea & Coffee']	 COEX Convention Center, Seoul	International Exhibition for Tea & Cofee Industry
159	Seoul International Wines & Spirits Expo (SIWS Expo)18th edition	https://10times.com/seoul-wines-spirits-expo	Fri, 12 Jun 2020	Sun, 14 Jun 2020	Tradeshow	['Food & Beverages', 'Wine & Spirits']	 COEX Convention Center, Seoul	One of the most popular and effective exhibition related wine and sprit market in Asia
160	Congress of the Pediatric Dentistry Association of Asia (PDAA)	https://10times.com/pdaa-seoul	Fri, 12 Jun 2020	Sun, 14 Jun 2020	Conference	['Medical & Pharma']	 COEX Mall, Seoul	Congress of the Pediatric Dentistry Association of Asia theme will be Asian Insight for Children's Health. It aims to improve all of the activities involved in dentistry for children and to advance and...
161	International Conference on Multidisciplinary Approaches in Business Economics and Social Sciences Disciplines (MBES)	https://10times.com/mbes	Mon, 15 Jun 2020	Tue, 16 Jun 2020	Conference	['Science & Research', 'Business Services']	 Nine Tree Premier Hotel Myeongdong2, Seoul	International Conference on Multidisciplinary Approaches in Business Economics and Social Sciences Disciplines is a great platform for academics, researchers, industry professionals, journalists, students,...
162	ANIMH International Conference on Research Advances in Technology, Applied Sciences, System and Process Engineering (TASPE)	https://10times.com/taspe	Mon, 15 Jun 2020	Tue, 16 Jun 2020	Conference	['Electric & Electronics', 'Industrial Engineering']	 Nine Tree Premier Hotel Myeongdong2, Seoul	ANIMH International Conference on Research Advances in Technology, Applied Sciences, System and Process Engineering will cover topics like smart engineering technology, smart data science and big data,...
163	International Conference on Plasma Medicine (ICPM)8th edition	https://10times.com/icpm-incheon	Sun, 14 Jun 2020	Fri, 19 Jun 2020	Conference	['Medical & Pharma', 'Science & Research']	 ConvensiA Convention Center, Incheon  22 Miles from Seoul	The International Conference on Plasma Medicine will provide the attendees with the opportunity to gain insights relating to topics such as Fundamentals of atmospheric plasmas, Plasma sources for biomedical...
164	In-Cosmetics Korea5th edition	https://10times.com/cos-pack-korea	Wed, 17 Jun 2020	Fri, 19 Jun 2020	Tradeshow	['Cosmetics', 'Fashion & Beauty']	 COEX Convention Center, Seoul	Korea's only exhibition of personal care ingredients
165	EXPO Solar	https://10times.com/expo-solar	Wed, 17 Jun 2020	Fri, 19 Jun 2020	Tradeshow	['Power & Energy']	 Kintex, Goyang-si  14.5 Miles from Seoul	International Solar Energy Expo & Conference
166	International Exhibition on Environmental Technology & Green Energy (ENVEX)42nd edition	https://10times.com/envex	Wed, 17 Jun 2020	Fri, 19 Jun 2020	Tradeshow	['Renewable Energy', 'Environment & Waste', 'Power & Energy']	 COEX Convention Center, Seoul	International Exhibition on Evironmental Technology and Green Energy
167	K SHOP Conference & Expo	https://10times.com/k-shop	Wed, 17 Jun 2020	Fri, 19 Jun 2020	Tradeshow	['IT & Technology']	 Kintex, Goyang-si  14.5 Miles from Seoul	Korea's Largest Retail & eCommerce Show!
168	International Carbon Zero Expo & Conference (CZ Expo)	https://10times.com/cz-expo	Wed, 17 Jun 2020	Fri, 19 Jun 2020	Tradeshow	['Environment & Waste', 'Power & Energy']	 KINTEX Exhibition Center 1, Goyang-si  14.7 Miles from Seoul	Carbon Zero refers to a next-generation manufacturing factory where the entire product manufacturing cycle from production design to production and shipping is managed by advanced simulation and modeling...
169	Asian Aviation Education and Training Symposium (AAETS)	https://10times.com/aaets	Thu, 18 Jun 2020	Fri, 19 Jun 2020	Conference	['Education & Training', 'Logistics & Transportation']	 InterContinental Seoul Coex, Seoul	The Asian Aviation Education and Training Symposium will bring together the Korean partners from the aviation human resources fostering project and international subject matter experts from suppliers of...
170	Korea Metal Week (KMW)11th edition	https://10times.com/korea-metal-week	Wed, 17 Jun 2020	Sat, 20 Jun 2020	Tradeshow	['Industrial Engineering', 'IT & Technology']	 Kintex, Goyang-si  14.5 Miles from Seoul	International exhibition for metal and ores & alloys
171	Investor Capital Expo	https://10times.com/investor-capital-expo-seoul	Tue, 23 Jun 2020	Tue, 23 Jun 2020	Tradeshow	['Business Services', 'Banking & Finance']	 Seoul	Investor Capital Expo is the premier meeting place for investors, ventures and partners. During a full day, the Expo connects great investors with quality entrepreneurs looking for funding. A blend of...
172	Green Energy Future South Korea (GEFSK)1st edition	https://10times.com/gefsk	Tue, 23 Jun 2020	Wed, 24 Jun 2020	Conference	['Business Services', 'Power & Energy']	 Seoul	Renewable Generation, Sustainable Development, Reliable Partners, Sensible Choice
173	Conference of the International Federation of Operational Research Societies (IFORS)22nd edition	https://10times.com/ifors-seoul	Sun, 21 Jun 2020	Fri, 26 Jun 2020	Conference	['Science & Research']	 COEX Convention Center, Seoul	Conference of the International Federation of Operational Research Societies aims to bring together academia, practitioners, and experts in the field of Management Science from more than 60 countries and...
174	Int’l LED & OLED EXPO18th edition	https://10times.com/international-led	Wed, 24 Jun 2020	Fri, 26 Jun 2020	Tradeshow	['Electric & Electronics']	 Kintex, Goyang-si  14.5 Miles from Seoul	International Led Expo will display products like LEDs & LED lighting products, LED chips, LED components, Accessories & Raw materials, LED manufacturing equipment, Testing laboratories & Research organization,...
175	Korea Ocean Expo5th edition	https://10times.com/mse-south-korea	Wed, 24 Jun 2020	Fri, 26 Jun 2020	Tradeshow	['Industrial Products', 'Tools & Equipments', 'Marine & Boat', 'Environment & Waste', 'Security & Defense', 'Shipping & Ports']	 Songdo Convensia (Songdo ConvensiA), Incheon  22 Miles from Seoul	The exhibition specialised in maritime and safety equipment
176	International ACM Conference on 3D Web Technology (Web3D)25th edition	https://10times.com/web-d-seoul	Wed, 24 Jun 2020	Fri, 26 Jun 2020	Conference	['IT & Technology']	 Korea University, Seoul	International ACM Conference on 3D Web Technology aim is to share innovative and creative ideas that enable development of 3D applications for a wide range of 3D environments, including the web, mobile...
